2023-05-07T19:13:55.972Z | mtYK9 | user4 | 0.00026561382757581126
2023-05-07T19:13:56.150Z | mtYK9 | desmond | 0.000021793403560351565
2023-05-07T19:13:56.269Z | mtYK9 | user9 | 0.00009943492006684216
2023-05-07T19:13:56.353Z | mtYK9 | user8 | 0.00006129423312635551
2023-05-07T19:13:56.530Z | mtYK9 | user3 | 0.00005312173658018872
2023-05-07T19:13:56.530Z | mtYK9 | user7 | 0.000051759521341022724
2023-05-07T19:13:56.744Z | mtYK9 | user0 | 0.00004767316879472155
2023-05-07T19:13:56.843Z | mtYK9 | user6 | 0.00032417708195985143
2023-05-07T19:13:56.941Z | mtYK9 | user1 | 0.00014165705232988037
2023-05-07T19:13:56.951Z | mtYK9 | user2 | 0.00003405217052137623
2023-05-07T19:13:56.975Z | mtYK9 | user4 | 0.00026561382757581126
2023-05-07T19:13:56.998Z | mtYK9 | user5 | 0.000025879858103625663
2023-05-07T19:13:57.169Z | mtYK9 | desmond | 0.000021793403560351565
2023-05-07T19:13:57.277Z | mtYK9 | user9 | 0.00009943492006684216
2023-05-07T19:13:57.360Z | mtYK9 | user8 | 0.00006129423312635551
2023-05-07T19:13:57.535Z | mtYK9 | user3 | 0.00005312173658018872
2023-05-07T19:13:57.535Z | mtYK9 | user7 | 0.000051759521341022724
2023-05-07T19:13:57.757Z | mtYK9 | user0 | 0.00004767316879472155
2023-05-07T19:13:57.854Z | mtYK9 | user6 | 0.00032417708195985143
2023-05-07T19:13:57.981Z | mtYK9 | user2 | 0.00003405217052137623
2023-05-07T19:13:57.986Z | mtYK9 | user4 | 0.00026561382757581126
2023-05-07T19:13:58.110Z | mtYK9 | user5 | 0.000025879858103625663
2023-05-07T19:13:57.961Z | mtYK9 | user1 | 0.00014165705232988037
2023-05-07T19:13:58.177Z | mtYK9 | desmond | 0.000021793403560351565
2023-05-07T19:13:58.357Z | mtYK9 | user9 | 0.00009943492006684216
2023-05-07T19:13:58.365Z | mtYK9 | user8 | 0.00006129423312635551
2023-05-07T19:13:58.547Z | mtYK9 | user3 | 0.00005312173658018872
2023-05-07T19:13:58.547Z | mtYK9 | user7 | 0.000051759521341022724
2023-05-07T19:14:07.853Z | mtYK9 | user0 | 0.00004767316879472155
2023-05-07T19:14:07.926Z | mtYK9 | user6 | 0.00032417708195985143
2023-05-07T19:14:08.029Z | mtYK9 | user1 | 0.00014165705232988037
2023-05-07T19:14:08.086Z | mtYK9 | user2 | 0.00003405217052137623
2023-05-07T19:14:08.209Z | mtYK9 | user4 | 0.00026561382757581126
2023-05-07T19:14:08.215Z | mtYK9 | user5 | 0.000025879858103625663
2023-05-07T19:14:08.317Z | mtYK9 | desmond | 0.00004915719373367465
2023-05-07T19:14:08.441Z | mtYK9 | user8 | 0.0007176971503503185
2023-05-07T19:14:08.442Z | mtYK9 | user9 | 0.0005884846676970129
2023-05-07T19:14:08.638Z | mtYK9 | user7 | 0.0006362503439649417
2023-05-07T19:14:08.638Z | mtYK9 | user3 | 0.00041860476223319734
2023-05-07T19:14:08.859Z | mtYK9 | user0 | 0.0001446627720124474
2023-05-07T19:14:08.932Z | mtYK9 | user6 | 0.0005983140134695316
2023-05-07T19:14:09.037Z | mtYK9 | user1 | 0.0006854114256803728
2023-05-07T19:14:09.090Z | mtYK9 | user2 | 0.0002766851593195703
2023-05-07T19:14:09.211Z | mtYK9 | user4 | 0.000609550719322096
2023-05-07T19:14:09.222Z | mtYK9 | user5 | 0.00011235936734659341
2023-05-07T19:14:09.323Z | mtYK9 | desmond | 0.00004915719373367465
2023-05-07T19:14:09.449Z | mtYK9 | user9 | 0.0005884846676970129
2023-05-07T19:14:09.449Z | mtYK9 | user8 | 0.0007176971503503185
2023-05-07T19:14:09.644Z | mtYK9 | user7 | 0.0006362503439649417
2023-05-07T19:14:09.643Z | mtYK9 | user3 | 0.00041860476223319734
2023-05-07T19:14:09.869Z | mtYK9 | user0 | 0.0001446627720124474
