2023-05-07T19:14:10.949Z | mtYK9 | user6 | 42
2023-05-07T19:14:11.047Z | mtYK9 | user1 | 42
2023-05-07T19:14:11.096Z | mtYK9 | user2 | 42
2023-05-07T19:14:11.228Z | mtYK9 | user4 | 42
2023-05-07T19:14:11.227Z | mtYK9 | user5 | 42
2023-05-07T19:14:11.338Z | mtYK9 | desmond | 35
2023-05-07T19:14:11.464Z | mtYK9 | user9 | 42
2023-05-07T19:14:11.464Z | mtYK9 | user8 | 42
2023-05-07T19:14:11.660Z | mtYK9 | user7 | 42
2023-05-07T19:14:11.660Z | mtYK9 | user3 | 42
2023-05-07T19:14:11.883Z | mtYK9 | user0 | 42
2023-05-07T19:14:11.956Z | mtYK9 | user6 | 42
2023-05-07T19:14:12.055Z | mtYK9 | user1 | 42
2023-05-07T19:14:12.104Z | mtYK9 | user2 | 42
2023-05-07T19:14:12.235Z | mtYK9 | user4 | 42
2023-05-07T19:14:12.235Z | mtYK9 | user5 | 42
2023-05-07T19:14:12.347Z | mtYK9 | desmond | 48
2023-05-07T19:14:12.472Z | mtYK9 | user9 | 42
2023-05-07T19:14:12.473Z | mtYK9 | user8 | 42
2023-05-07T19:14:12.670Z | mtYK9 | user7 | 42
2023-05-07T19:14:12.670Z | mtYK9 | user3 | 42
2023-05-07T19:14:12.890Z | mtYK9 | user0 | 42
2023-05-07T19:14:12.965Z | mtYK9 | user6 | 42
2023-05-07T19:14:13.063Z | mtYK9 | user1 | 42
2023-05-07T19:14:13.112Z | mtYK9 | user2 | 42
2023-05-07T19:14:13.244Z | mtYK9 | user5 | 42
2023-05-07T19:14:13.244Z | mtYK9 | user4 | 42
2023-05-07T19:14:13.368Z | mtYK9 | desmond | 48
2023-05-07T19:14:13.475Z | mtYK9 | user9 | 42
2023-05-07T19:14:13.476Z | mtYK9 | user8 | 42
2023-05-07T19:14:13.674Z | mtYK9 | user7 | 42
2023-05-07T19:14:13.674Z | mtYK9 | user3 | 42
2023-05-07T19:14:13.895Z | mtYK9 | user0 | 42
2023-05-07T19:14:13.970Z | mtYK9 | user6 | 42
2023-05-07T19:14:14.070Z | mtYK9 | user1 | 41
2023-05-07T19:14:14.120Z | mtYK9 | user2 | 41
2023-05-07T19:14:14.247Z | mtYK9 | user4 | 41
2023-05-07T19:14:14.247Z | mtYK9 | user5 | 41
2023-05-07T19:14:14.391Z | mtYK9 | desmond | 48
2023-05-07T19:14:14.481Z | mtYK9 | user9 | 41
2023-05-07T19:14:14.481Z | mtYK9 | user8 | 41
2023-05-07T19:14:14.679Z | mtYK9 | user7 | 41
2023-05-07T19:14:14.678Z | mtYK9 | user3 | 41
2023-05-07T19:14:14.902Z | mtYK9 | user0 | 41
2023-05-07T19:14:14.973Z | mtYK9 | user6 | 41
2023-05-07T19:14:15.072Z | mtYK9 | user1 | 41
2023-05-07T19:14:15.129Z | mtYK9 | user2 | 41
2023-05-07T19:14:15.251Z | mtYK9 | user4 | 41
2023-05-07T19:14:15.249Z | mtYK9 | user5 | 41
2023-05-07T19:14:15.410Z | mtYK9 | desmond | 48
2023-05-07T19:14:15.485Z | mtYK9 | user9 | 41
2023-05-07T19:14:15.485Z | mtYK9 | user8 | 41
2023-05-07T19:14:15.681Z | mtYK9 | user7 | 41
2023-05-07T19:14:15.681Z | mtYK9 | user3 | 41
2023-05-07T19:14:15.911Z | mtYK9 | user0 | 41
2023-05-07T19:14:15.977Z | mtYK9 | user6 | 41
2023-05-07T19:14:16.076Z | mtYK9 | user1 | 41
2023-05-07T19:14:16.135Z | mtYK9 | user2 | 41
2023-05-07T19:14:16.255Z | mtYK9 | user4 | 41
2023-05-07T19:14:16.255Z | mtYK9 | user5 | 41
